# 账号表：username|password|personId|roleKey|avatar
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
admin|admin123|SK001|ADMIN|
ld001|123456|LD001|DORM_STAFF|
ld002|123456|LD002|DORM_STAFF|
23011101|123456|23011101|STUDENT|
23011102|123456|23011102|STUDENT|
23011103|123456|23011103|STUDENT|
23011104|123456|23011104|STUDENT|
23011105|123456|23011105|STUDENT|
23011106|123456|23011106|STUDENT|
23011107|123456|23011107|STUDENT|
23011108|123456|23011108|STUDENT|
23011109|123456|23011109|STUDENT|
23011110|123456|23011110|STUDENT|
23011111|123456|23011111|STUDENT|
23011112|123456|23011112|STUDENT|
23011113|123456|23011113|STUDENT|
23011114|123456|23011114|STUDENT|
23011115|123456|23011115|STUDENT|
23011116|123456|23011116|STUDENT|
23011117|123456|23011117|STUDENT|
23011118|123456|23011118|STUDENT|
23011119|123456|23011119|STUDENT|
23011120|123456|23011120|STUDENT|
23011121|123456|23011121|STUDENT|
23011122|123456|23011122|STUDENT|
23011123|123456|23011123|STUDENT|
23011124|123456|23011124|STUDENT|
23011125|123456|23011125|STUDENT|
23011126|123456|23011126|STUDENT|
23011127|123456|23011127|STUDENT|
23011128|123456|23011128|STUDENT|
23011129|123456|23011129|STUDENT|
23011130|123456|23011130|STUDENT|
23011131|123456|23011131|STUDENT|
23011132|123456|23011132|STUDENT|
23011133|123456|23011133|STUDENT|
23011134|123456|23011134|STUDENT|
23011135|123456|23011135|STUDENT|
23011136|123456|23011136|STUDENT|
23011137|123456|23011137|STUDENT|
23011138|123456|23011138|STUDENT|
23011139|123456|23011139|STUDENT|
23011140|123456|23011140|STUDENT|
23011201|123456|23011201|STUDENT|
23011202|123456|23011202|STUDENT|
23011203|123456|23011203|STUDENT|
23011204|123456|23011204|STUDENT|
23011205|123456|23011205|STUDENT|
23011206|123456|23011206|STUDENT|
23011207|123456|23011207|STUDENT|
23011208|123456|23011208|STUDENT|
23011209|123456|23011209|STUDENT|
23011210|123456|23011210|STUDENT|
23011211|123456|23011211|STUDENT|
23011212|123456|23011212|STUDENT|
23011213|123456|23011213|STUDENT|
23011214|123456|23011214|STUDENT|
23011215|123456|23011215|STUDENT|
23011216|123456|23011216|STUDENT|
23011217|123456|23011217|STUDENT|
23011218|123456|23011218|STUDENT|
23011219|123456|23011219|STUDENT|
23011220|123456|23011220|STUDENT|
23011221|123456|23011221|STUDENT|
